Golfer: Jerry Woods
Raleigh 1             146
Garner 3              148
Apex 3                148
WTCC 2                160
Apex 1                230
Raleigh 3             234
Cary 2                241
Garner 1              299


Golfer: Russ Homey
Tournament            Total Score
Oak City Championship 0
Cary 1                149
Garner 2              217
WTCC 1                220
WTCC 3                296
Raleigh 2             302
Cary 3                304
Apex 2                306


Golfer: Alex Rahm
Tournament            Total Score
WTCC 2                144
Apex 3                157
Cary 2                228
Apex 1                231
Raleigh 3             232
Garner 1              294
Raleigh 2             303


Golfer: Jordan Speed
Tournament            Total Score
Oak City Championship 0
Garner 3              148
Garner 2              222
WTCC 1                226
Raleigh 2             288
Cary 3                299
Apex 2                302
WTCC 3                310


Golfer: Jason Duffy
Tournament            Total Score
Apex 3                148
WTCC 2                150
Cary 1                153
Raleigh 3             226
Apex 1                234
Garner 1              304
Raleigh 2             305


Golfer: Liam Horse
Tournament            Total Score
Garner 3              147
Garner 2              221
Cary 2                224
WTCC 1                226
Raleigh 2             299
Apex 2                304
WTCC 3                308


Golfer: Kevin Kissme
Tournament            Total Score
Cary 1                151
Apex 3                156
WTCC 2                160
Raleigh 3             226
Garner 1              291
Raleigh 2             301
Cary 3                314


Golfer: Bryan Harmony
Tournament            Total Score
Garner 3              151
WTCC 1                224
Cary 2                225
Apex 1                227
Garner 2              230
Raleigh 2             299
WTCC 3                310


Golfer: Matsu Hidey
Tournament            Total Score
Cary 1                150
WTCC 2                153
Raleigh 3             221
Cary 3                296
Garner 1              301
Apex 2                301
Raleigh 2             304


Golfer: Booth Koepka
Tournament            Total Score
Apex 3                151
Apex 1                220
Garner 2              221
WTCC 1                224
Cary 2                227
Raleigh 2             306
WTCC 3                308


Golfer: Phil Mickey
Tournament            Total Score
Oak City Championship 0
Garner 3              149
WTCC 2                151
Raleigh 3             221
Cary 3                293
Raleigh 2             298
Garner 1              304
Apex 2                304


Golfer: Chaz Hoffman
Tournament            Total Score
Cary 1                148
Apex 3                154
WTCC 1                221
Garner 2              233
Apex 1                233
WTCC 3                297
Raleigh 2             301


Golfer: Matty Kuch
Tournament            Total Score
WTCC 2                149
Garner 3              156
Raleigh 3             225
Cary 2                228
Garner 1              297
Apex 2                308
Raleigh 2             309


Golfer: Brendan Stool
Tournament            Total Score
Cary 1                149
Apex 3                157
Garner 2              225
WTCC 1                235
WTCC 3                297
Raleigh 2             298
Cary 3                301


Golfer: Kyle Stands
Tournament            Total Score
Garner 3              150
WTCC 2                151
Raleigh 3             224
Apex 1                224
Cary 2                231
Raleigh 2             294
Garner 1              305


Golfer: Ashton Hadwin
Tournament            Total Score
Oak City Championship 0
Cary 1                147
WTCC 1                219
Garner 2              225
WTCC 3                295
Raleigh 2             301
Apex 2                303
Cary 3                306


